Plot_ID;Plot;Type;System;Position;Depth;Species;Wet_Weight;Dry_Weight;Ratio;Productivity 
45_IC_OP_O;45;OP;PERO;O;10;Herba;0,0404;0,0111;0,275;0,1154
45_IC_OP_O;45;OP;PERO;O;10;Herba;0,0555;0,0119;0,214;0,1237
45_IC_OP_O;45;OP;PERO;O;10;Herba;0,0869;0,0231;0,266;0,2401
45_IC_OP_O;45;OP;PERO;O;10;Herba;0,1448;0,035;0,242;0,3638
45_IC_OP_O;45;OP;PERO;O;10;Oil Palm;0;0;;0,0000
45_IC_OP_O;45;OP;PERO;O;10;Oil Palm;0;0;;0,0000
45_IC_OP_O;45;OP;PERO;O;10;Oil Palm;0,0037;0,0008;0,216;0,0083
45_IC_OP_O;45;OP;PERO;O;10;Oil Palm;0,0156;0,0037;0,237;0,0385
45_IC_OP_O;45;OP;PERO;O;10;Oil Palm;0,0068;0,004;0,588;0,0416
45_IC_OP_O;45;OP;PERO;O;10;Oil Palm;0,0142;0,0056;0,394;0,0582
45_IC_OP_O;45;OP;PERO;O;10;Oil Palm;0,0154;0,007;0,455;0,0728
45_IC_OP_O;45;OP;PERO;O;10;Oil Palm;0,0128;0,0072;0,563;0,0748
45_IC_OP_O;45;OP;PERO;O;10;Oil Palm;0,0316;0,0104;0,329;0,1081
45_IC_OP_O;45;OP;PERO;O;10;Oil Palm;0,0875;0,0184;0,210;0,1912
45_IC_OP_O;45;OP;PERO;O;10;Oil Palm;0,2744;0,0737;0,269;0,7660
45_IC_OP_O;45;OP;PERO;O;10;Oil Palm;0,2328;0,079;0,339;0,8211
45_IC_OP_O;45;OP;PERO;O;10;Tree;0;0;;0,0000
45_IC_OP_O;45;OP;PERO;O;10;Tree;0;0;;0,0000
45_IC_OP_O;45;OP;PERO;O;10;Tree;0;0;;0,0000
45_IC_OP_O;45;OP;PERO;O;10;Tree;0;0;;0,0000
45_IC_OP_O;45;OP;PERO;O;10;Tree;0;0;;0,0000
45_IC_OP_O;45;OP;PERO;O;10;Tree;0;0;;0,0000
45_IC_OP_O;45;OP;PERO;O;10;Tree;0;0;;0,0000
45_IC_OP_O;45;OP;PERO;O;10;Tree;0;0;;0,0000
45_IC_OP_O;45;OP;PERO;O;10;Tree;0,0503;0,0113;0,225;0,1174
45_IC_OP_O;45;OP;PERO;O;10;Tree;0,0876;0,0236;0,269;0,2453
45_IC_OP_O;45;OP;PERO;O;10;Tree;0,1158;0,0333;0,288;0,3461
45_IC_OP_O;45;OP;PERO;O;10;Tree;0,2236;0,0348;0,156;0,3617
45_IC_OP_O;45;OP;PERO;O;30;Herba;0;0;;0,0000
45_IC_OP_O;45;OP;PERO;O;30;Herba;0,002;0,0003;0,150;0,0031
45_IC_OP_O;45;OP;PERO;O;30;Herba;0,0018;0,0006;0,333;0,0062
45_IC_OP_O;45;OP;PERO;O;30;Herba;0,0036;0,0011;0,306;0,0114
45_IC_OP_O;45;OP;PERO;O;30;Herba;0,0036;0,0013;0,361;0,0135
45_IC_OP_O;45;OP;PERO;O;30;Herba;0,0082;0,0014;0,171;0,0146
45_IC_OP_O;45;OP;PERO;O;30;Herba;0,0037;0,0018;0,486;0,0187
45_IC_OP_O;45;OP;PERO;O;30;Herba;0,0163;0,0026;0,160;0,0270
45_IC_OP_O;45;OP;PERO;O;30;Herba;0,0162;0,0043;0,265;0,0447
45_IC_OP_O;45;OP;PERO;O;30;Herba;0,041;0,0049;0,120;0,0509
45_IC_OP_O;45;OP;PERO;O;30;Herba;0,0252;0,005;0,198;0,0520
45_IC_OP_O;45;OP;PERO;O;30;Herba;0,0426;0,0079;0,185;0,0821
45_IC_OP_O;45;OP;PERO;O;30;Oil Palm;0;0;;0,0000
45_IC_OP_O;45;OP;PERO;O;30;Oil Palm;0,0015;0,0008;0,533;0,0083
45_IC_OP_O;45;OP;PERO;O;30;Oil Palm;0,0135;0,0054;0,400;0,0561
45_IC_OP_O;45;OP;PERO;O;30;Oil Palm;0,0156;0,0064;0,410;0,0665
45_IC_OP_O;45;OP;PERO;O;30;Oil Palm;0,0238;0,0066;0,277;0,0686
45_IC_OP_O;45;OP;PERO;O;30;Oil Palm;0,035;0,0113;0,323;0,1174
45_IC_OP_O;45;OP;PERO;O;30;Oil Palm;0,0333;0,0121;0,363;0,1258
45_IC_OP_O;45;OP;PERO;O;30;Oil Palm;0,0551;0,017;0,309;0,1767
45_IC_OP_O;45;OP;PERO;O;30;Oil Palm;0,0545;0,0175;0,321;0,1819
45_IC_OP_O;45;OP;PERO;O;30;Oil Palm;0,0972;0,0291;0,299;0,3025
45_IC_OP_O;45;OP;PERO;O;30;Oil Palm;0,1445;0,0383;0,265;0,3981
45_IC_OP_O;45;OP;PERO;O;30;Oil Palm;0,2146;0,051;0,238;0,5301
45_IC_OP_O;45;OP;PERO;O;30;Tree;0;0;;0,0000
45_IC_OP_O;45;OP;PERO;O;30;Tree;0;0;;0,0000
45_IC_OP_O;45;OP;PERO;O;30;Tree;0;0;;0,0000
45_IC_OP_O;45;OP;PERO;O;30;Tree;0;0;;0,0000
45_IC_OP_O;45;OP;PERO;O;30;Tree;0;0;;0,0000
45_IC_OP_O;45;OP;PERO;O;30;Tree;0;0;;0,0000
45_IC_OP_O;45;OP;PERO;O;30;Tree;0;0;;0,0000
45_IC_OP_O;45;OP;PERO;O;30;Tree;0;0;;0,0000
45_IC_OP_O;45;OP;PERO;O;30;Tree;0,0089;0,0024;0,270;0,0249
45_IC_OP_O;45;OP;PERO;O;30;Tree;0,0242;0,0082;0,339;0,0852
45_IC_OP_O;45;OP;PERO;O;30;Tree;0,1109;0,0235;0,212;0,2443
45_IC_OP_O;45;OP;PERO;O;30;Tree;0,2185;0,0392;0,179;0,4074
45_IC_OP_T;45;OP;PERO;T;10;Herba;0;0;;0,0000
45_IC_OP_T;45;OP;PERO;T;10;Herba;0;0;;0,0000
45_IC_OP_T;45;OP;PERO;T;10;Herba;0,0045;0,0025;0,556;0,0260
45_IC_OP_T;45;OP;PERO;T;10;Herba;0,0123;0,0026;0,211;0,0270
45_IC_OP_T;45;OP;PERO;T;10;Herba;0,0099;0,0032;0,323;0,0333
45_IC_OP_T;45;OP;PERO;T;10;Herba;0,0051;0,0036;0,706;0,0374
45_IC_OP_T;45;OP;PERO;T;10;Herba;0,0139;0,0049;0,353;0,0509
45_IC_OP_T;45;OP;PERO;T;10;Herba;0,0175;0,0054;0,309;0,0561
45_IC_OP_T;45;OP;PERO;T;10;Herba;0,044;0,0084;0,191;0,0873
45_IC_OP_T;45;OP;PERO;T;10;Herba;0,0524;0,0101;0,193;0,1050
45_IC_OP_T;45;OP;PERO;T;10;Herba;0,0455;0,0106;0,233;0,1102
45_IC_OP_T;45;OP;PERO;T;10;Herba;0,1069;0,0217;0,203;0,2255
45_IC_OP_T;45;OP;PERO;T;10;Oil Palm;0;0;;0,0000
45_IC_OP_T;45;OP;PERO;T;10;Oil Palm;0,0049;0,0024;0,490;0,0249
45_IC_OP_T;45;OP;PERO;T;10;Oil Palm;0,0056;0,0026;0,464;0,0270
45_IC_OP_T;45;OP;PERO;T;10;Oil Palm;0,0094;0,0033;0,351;0,0343
45_IC_OP_T;45;OP;PERO;T;10;Oil Palm;0,0096;0,0043;0,448;0,0447
45_IC_OP_T;45;OP;PERO;T;10;Oil Palm;0,0208;0,0105;0,505;0,1091
45_IC_OP_T;45;OP;PERO;T;10;Oil Palm;0,0325;0,0109;0,335;0,1133
45_IC_OP_T;45;OP;PERO;T;10;Oil Palm;0,0529;0,0154;0,291;0,1601
45_IC_OP_T;45;OP;PERO;T;10;Oil Palm;0,0645;0,0222;0,344;0,2307
45_IC_OP_T;45;OP;PERO;T;10;Oil Palm;0,0782;0,0294;0,376;0,3056
45_IC_OP_T;45;OP;PERO;T;10;Oil Palm;0,1478;0,0456;0,309;0,4740
45_IC_OP_T;45;OP;PERO;T;10;Oil Palm;0,3644;0,078;0,214;0,8107
45_IC_OP_T;45;OP;PERO;T;10;Tree;0;0;;0,0000
45_IC_OP_T;45;OP;PERO;T;10;Tree;0;0;;0,0000
45_IC_OP_T;45;OP;PERO;T;10;Tree;0;0;;0,0000
45_IC_OP_T;45;OP;PERO;T;10;Tree;0;0;;0,0000
45_IC_OP_T;45;OP;PERO;T;10;Tree;0;0;;0,0000
45_IC_OP_T;45;OP;PERO;T;10;Tree;0;0;;0,0000
45_IC_OP_T;45;OP;PERO;T;10;Tree;0;0;;0,0000
45_IC_OP_T;45;OP;PERO;T;10;Tree;0,0028;0,0003;0,107;0,0031
45_IC_OP_T;45;OP;PERO;T;10;Tree;0,0224;0,0075;0,335;0,0780
45_IC_OP_T;45;OP;PERO;T;10;Tree;0,0786;0,0148;0,188;0,1538
45_IC_OP_T;45;OP;PERO;T;10;Tree;0,1536;0,0329;0,214;0,3420
45_IC_OP_T;45;OP;PERO;T;10;Tree;0,3017;0,0579;0,192;0,6018
45_IC_OP_T;45;OP;PERO;T;30;Herba;0;0;;0,0000
45_IC_OP_T;45;OP;PERO;T;30;Herba;0;0;;0,0000
45_IC_OP_T;45;OP;PERO;T;30;Herba;0;0;;0,0000
45_IC_OP_T;45;OP;PERO;T;30;Herba;0;0;;0,0000
45_IC_OP_T;45;OP;PERO;T;30;Herba;0,0034;0,0007;0,206;0,0073
45_IC_OP_T;45;OP;PERO;T;30;Herba;0,0051;0,0008;0,157;0,0083
45_IC_OP_T;45;OP;PERO;T;30;Herba;0,0161;0,0036;0,224;0,0374
45_IC_OP_T;45;OP;PERO;T;30;Herba;0,0149;0,0041;0,275;0,0426
45_IC_OP_T;45;OP;PERO;T;30;Herba;0,0402;0,0054;0,134;0,0561
45_IC_OP_T;45;OP;PERO;T;30;Herba;0,0345;0,0093;0,270;0,0967
45_IC_OP_T;45;OP;PERO;T;30;Herba;0,0731;0,011;0,150;0,1143
45_IC_OP_T;45;OP;PERO;T;30;Herba;0,1977;0,0411;0,208;0,4272
